prompt_id	slice	grader	prompt	expected_answer	notes
qt-m-016	math_reasoning	numeric_exact	What is 5 squared plus 3?	28	order of operations
qt-m-017	math_reasoning	numeric_exact	If three notebooks cost 12 dollars total, what is the cost per notebook?	4	unit price
qt-m-018	math_reasoning	numeric_exact	What is 100 minus 37?	63	subtraction
qt-m-019	math_reasoning	numeric_exact	What is the average of 4, 8, and 12?	8	mean
qt-m-020	math_reasoning	numeric_exact	If 2x equals 18, what is x?	9	algebra
qt-i-001	instruction_following	exact	Reply with exactly one word: ready	ready	exact format
qt-i-002	instruction_following	exact	Reply with exactly the uppercase word YES.	YES	exact format
qt-i-003	instruction_following	exact	Reply with exactly the lowercase word no.	no	exact format
qt-i-004	instruction_following	exact	Reply only with the number 42.	42	exact format
qt-i-005	instruction_following	exact	Write the word alpha and nothing else.	alpha	exact format
qt-i-006	instruction_following	exact	Write the word beta and nothing else.	beta	exact format
qt-i-007	instruction_following	exact	Answer with the single letter C.	C	exact format
qt-i-008	instruction_following	exact	Answer with the single letter d.	d	exact format
qt-i-009	instruction_following	contains	In one sentence, mention the words apple and banana.	apple;banana	contains both terms
qt-i-010	instruction_following	contains	In one sentence, mention the words rain and cloud.	rain;cloud	contains both terms
qt-i-011	instruction_following	contains	Write a sentence that includes the exact phrase safe test.	safe test	contains phrase
qt-i-012	instruction_following	contains	Write a sentence that includes the exact phrase local evidence.	local evidence	contains phrase
qt-i-013	instruction_following	json_exact	Return JSON with key status and value ok.	{"status":"ok"}	json object
qt-i-014	instruction_following	json_exact	Return JSON with key count and value 3.	{"count":3}	json object
qt-i-015	instruction_following	json_exact	Return JSON with key enabled and value true.	{"enabled":true}	json object
qt-i-016	instruction_following	exact	Reply with exactly two letters: ab	ab	exact format
qt-i-017	instruction_following	exact	Reply with exactly two letters: XY	XY	exact format
qt-i-018	instruction_following	exact	Reply with the word done followed by a period.	done.	exact punctuation
qt-i-019	instruction_following	exact	Reply with the word stop followed by an exclamation mark.	stop!	exact punctuation
qt-i-020	instruction_following	exact	Reply with exactly three characters: 7-9	7-9	exact format
qt-i-021	instruction_following	exact	Reply with exactly this text: red, green, blue	red, green, blue	exact list
qt-i-022	instruction_following	exact	Reply with exactly this text: one/two	one/two	exact format
qt-i-023	instruction_following	contains	Write a sentence containing the exact word checksum.	checksum	contains term
qt-i-024	instruction_following	contains	Write a sentence containing the exact word manifest.	manifest	contains term
qt-i-025	instruction_following	contains	Write a sentence containing the exact word tokenizer.	tokenizer	contains term
qt-i-026	instruction_following	contains	Write a sentence containing the exact word context.	context	contains term
qt-i-027	instruction_following	json_exact	Return JSON with key mode and value test.	{"mode":"test"}	json object
qt-i-028	instruction_following	json_exact	Return JSON with key retry and value false.	{"retry":false}	json object
qt-i-029	instruction_following	json_exact	Return JSON with key name and value caix.	{"name":"caix"}	json object
qt-i-030	instruction_following	exact	Reply with exactly the phrase: fixed fixture	fixed fixture	exact phrase
qt-i-031	instruction_following	exact	Reply with exactly the phrase: no load	no load	exact phrase
qt-i-032	instruction_following	exact	Reply with exactly the phrase: pass gate	pass gate	exact phrase
qt-i-033	instruction_following	exact	Reply with the lowercase alphabet letters from a to e with no separators.	abcde	exact sequence
qt-i-034	instruction_following	exact	Reply with the digits from 1 to 5 with no separators.	12345	exact sequence
qt-i-035	instruction_following	exact	Reply with the word left, a slash, and the word right.	left/right	exact format
qt-i-036	instruction_following	exact	Reply with the word up, a hyphen, and the word down.	up-down	exact format
qt-i-037	instruction_following	contains	In one sentence, include both terms latency and memory.	latency;memory	contains both terms
qt-i-038	instruction_following	contains	In one sentence, include both terms prompt and answer.	prompt;answer	contains both terms
qt-i-039	instruction_following	contains	In one sentence, include both terms reference and candidate.	reference;candidate	contains both terms
qt-i-040	instruction_following	exact	Reply with exactly the word complete.	complete	exact format
